University,Course,CourseLink,Logo
NTU,Materials Engineering with a Second Major in Business ,http://coe.ntu.edu.sg/Programmes/UndergradStudies/Prospective/UG%20DegreeProg/Pages/EGBM.aspx,NTU.png
NTU,Materials Engineering with a Second Major in Entrepreneurship,https://coe.ntu.edu.sg/Programmes/UndergradStudies/Prospective/UG%20DegreeProg/Pages/SMIE.aspx,NTU.png
NTU,Materials Engineering with a Second Major in Medical Biology ,http://coe.ntu.edu.sg/Programmes/UndergradStudies/Prospective/UG%20DegreeProg/Pages/MedBio.aspx,NTU.png
NTU,Materials Engineering with a Second Major in Pharmaceutical Engineering ,http://coe.ntu.edu.sg/Programmes/UndergradStudies/Prospective/UG%20DegreeProg/Pages/EngPE.aspx,NTU.png
NTU,Mechanical Engineering ^,http://mae.ntu.edu.sg/Pages/default.aspx,NTU.png
NTU,Mechanical Engineering with a Second Major in Business ,http://coe.ntu.edu.sg/Programmes/UndergradStudies/Prospective/UG%20DegreeProg/Pages/EGBM.aspx,NTU.png
NTU,Mechanical Engineering with a Second Major in Entrepreneurship,https://coe.ntu.edu.sg/Programmes/UndergradStudies/Prospective/UG%20DegreeProg/Pages/SMIE.aspx,NTU.png
NTU,Mechanical Engineering with a Second Major in Society & Urban Systems ,http://coe.ntu.edu.sg/Programmes/UndergradStudies/Prospective/UG%20DegreeProg/Pages/SUS.aspx,NTU.png
NTU,Maritime Studies #,http://www.cee.ntu.edu.sg/Programmes/undergraduate/MS/Pages/Home.aspx,NTU.png
NTU,Maritime Studies with a Second Major in Business #,http://www.cee.ntu.edu.sg/Programmes/undergraduate/MS/Pages/Home.aspx,NTU.png
NTU,Chinese,http://www.soh.ntu.edu.sg/Programmes/chinese/en/Undergraduate/Pages/Home.aspx,NTU.png
NTU,English,http://www.soh.ntu.edu.sg/Programmes/english/undergraduate/Pages/Home.aspx,NTU.png
NTU,History,http://www.soh.ntu.edu.sg/Programmes/history/undergraduate/Pages/Home.aspx,NTU.png
NTU,Linguistics and Multilingual Studies,http://www.soh.ntu.edu.sg/Programmes/linguistics/Undergraduate%20Programme/Pages/Home.aspx,NTU.png
NTU,Philosophy,http://www.soh.ntu.edu.sg/Programmes/philosophy/Undergraduate/Pages/About%20Philosophy.aspx,NTU.png
NTU,Medicine,http://www.lkcmedicine.ntu.edu.sg/Pages/Home.aspx,NTU.png
